Year,Season,League,Conference,Division,Finish,Wins,Losses,Ties,Win%
1965,1965,NFL,Western,,3rd,9,5,0,.643
1966,1966,NFL,Western,,5th,5,7,2,.429
1967,1967,NFL,Western,Central,2nd,7,6,1,.536
1968,1968,NFL,Western,Central,2nd,7,7,0,.500
1969,1969,NFL,Western,Central,4th,1,13,0,.071
1970,1970,NFL,NFC,Central,4th,6,8,0,.429
1971,1971,NFL,NFC,Central,3rd,6,8,0,.429
1972,1972,NFL,NFC,Central,4th,4,9,1,.321
1973,1973,NFL,NFC,Central,4th,3,11,0,.214
1974,1974,NFL,NFC,Central,4th,4,10,0,.286
1975,1975,NFL,NFC,Central,3rd,4,10,0,.286
1976,1976,NFL,NFC,Central,2nd,7,7,0,.500
1977,1977,NFL,NFC,Central,2nd,9,5,0,.643
1978,1978,NFL,NFC,Central,4th,7,9,0,.438
1979,1979,NFL,NFC,Central,2nd,10,6,0,.625
1980,1980,NFL,NFC,Central,3rd,7,9,0,.438
1981,1981,NFL,NFC,Central,5th,6,10,0,.375
1982,1982,NFL,NFC,,12th,3,6,0,.333
1983,1983,NFL,NFC,Central,3rd,8,8,0,.500
1984,1984,NFL,NFC,Central,1st,10,6,0,.625
1985,1985,NFL,NFC,Central,1st,15,1,0,.938
1986,1986,NFL,NFC,Central,1st,14,2,0,.875
1987,1987,NFL,NFC,Central,1st,11,4,0,.733
1988,1988,NFL,NFC,Central,1st,12,4,0,.750
1989,1989,NFL,NFC,Central,4th,6,10,0,.375
1990,1990,NFL,NFC,Central,1st,11,5,0,.688
1991,1991,NFL,NFC,Central,2nd,11,5,0,.688
1992,1992,NFL,NFC,Central,4th,5,11,0,.313
1993,1993,NFL,NFC,Central,4th,7,9,0,.438
1994,1994,NFL,NFC,Central,4th,9,7,0,.563
1995,1995,NFL,NFC,Central,3rd,9,7,0,.563
1996,1996,NFL,NFC,Central,3rd,7,9,0,.438
1997,1997,NFL,NFC,Central,5th,4,12,0,.250
1998,1998,NFL,NFC,Central,5th,4,12,0,.250
1999,1999,NFL,NFC,Central,5th,6,10,0,.375
2000,2000,NFL,NFC,Central,5th,5,11,0,.313
2001,2001,NFL,NFC,Central,1st,13,3,0,.813
2002,2002,NFL,NFC,North,3rd,4,12,0,.250
2003,2003,NFL,NFC,North,3rd,7,9,0,.438
2004,2004,NFL,NFC,North,4th,5,11,0,.313
2005,2005,NFL,NFC,North,1st,11,5,0,.688
2006,2006,NFL,NFC,North,1st,13,3,0,.813
2007,2007,NFL,NFC,North,4th,7,9,0,.438
2008,2008,NFL,NFC,North,2nd,9,7,0,.563
2009,2009,NFL,NFC,North,3rd,7,9,0,.438
2010,2010,NFL,NFC,North,1st,11,5,0,.688
2011,2011,NFL,NFC,North,3rd,8,8,0,.500
2012,2012,NFL,NFC,North,3rd,10,6,0,.625
2013,2013,NFL,NFC,North,2nd,8,8,0,.500
2014,2014,NFL,NFC,North,4th,5,11,0,.313
2015,2015,NFL,NFC,North,4th,6,10,0,.375
2016,2016,NFL,NFC,North,4th,3,13,0,.188
2017,2017,NFL,NFC,North,4th,5,11,0,.313
