Season,Conference,Finish,Division,Finish,Wins,Losses,Win%,GB
1966–67,—,—,Western,4th,33,48,.407,11
1967–68,—,—,Western,4th,29,53,.354,27
1968–69,—,—,Western,5th,33,49,.402,22
1969–70,—,—,Western,3rd[c],39,43,.476,9
1970–71,Western,3rd,Midwest[d],2nd,51,31,.622,2
1971–72,Western,3rd,Midwest,2nd,57,25,.695,6
1972–73,Western,3rd,Midwest,2nd,51,31,.622,9
1973–74,Western,3rd,Midwest,2nd,54,28,.659,9
1974–75,Western,2nd,Midwest,1st,47,35,.573,—
1975–76,Western,9th,Midwest,4th,24,58,.293,14
1976–77,Western,6th,Midwest,3rd[e],44,38,.537,6
1977–78,Western,8th,Midwest,3rd,40,42,.488,8
1978–79,Western,11th,Midwest,5th,31,51,.378,17
1979–80,Western,9th,Midwest,4th[f],30,52,.366,19
1980–81,Eastern,5th,Central[g],2nd,45,37,.549,15
1981–82,Eastern,9th,Central,5th,34,48,.415,21
1982–83,Eastern,9th,Central,4th,28,54,.341,23
1983–84,Eastern,10th,Central,5th,27,55,.329,23
1984–85,Eastern,7th,Central,3rd,38,44,.463,21
1985–86,Eastern,8th,Central,4th,30,52,.366,27
1986–87,Eastern,8th,Central,5th,40,42,.488,17
1987–88,Eastern,3rd,Central,2nd[h],50,32,.610,4
1988–89,Eastern,6th,Central,5th,47,35,.573,16
1989–90,Eastern,3rd,Central,2nd,55,27,.671,4
1990–91,Eastern,1st,Central,1st,61,21,.744,—
1991–92,Eastern,1st,Central,1st,67,15,.817,—
1992–93,Eastern,2nd,Central,1st,57,25,.695,—
1993–94,Eastern,3rd,Central,2nd,55,27,.671,2
1994–95,Eastern,5th,Central,3rd,47,35,.573,5
1995–96,Eastern,1st,Central,1st,72,10,.878,—
1996–97,Eastern,1st,Central,1st,69,13,.841,—
1997–98,Eastern,1st,Central,1st,62,20,.756,—
1998–99[i],Eastern,15th,Central,8th,13,37,.260,20
1999–00,Eastern,15th,Central,8th,17,65,.207,39
2000–01,Eastern,15th,Central,8th,15,67,.183,37
2001–02,Eastern,15th,Central,8th,21,61,.256,29
2002–03,Eastern,12th,Central,6th,30,52,.366,20
2003–04,Eastern,14th,Central,8th,23,59,.280,38
2004–05,Eastern,4th,Central,2nd,47,35,.573,7
2005–06,Eastern,7th,Central,4th[k],41,41,.500,23
2006–07,Eastern,5th,Central,3rd,49,33,.598,4
2007–08,Eastern,11th,Central,4th,33,49,.402,26
2008–09,Eastern,7th,Central,2nd,41,41,.500,25
2009–10,Eastern,8th,Central,3rd,41,41,.500,20
2010–11,Eastern,1st,Central,1st,62,20,.756,—
2011–12[l],Eastern,1st,Central,1st,50,16,.758,—
2012–13,Eastern,5th,Central,2nd,45,37,.549,4
2013–14,Eastern,4th,Central,2nd,48,34,.585,8
2014–15,Eastern,3rd,Central,2nd,50,32,.610,3
2015–16,Eastern,9th,Central,4th,42,40,.512,15
2016–17,Eastern,8th,Central,4th,41,41,.500,10
2017–18,Eastern,13th,Central,5th,27,55,.329,23
