Year,Bulls,Bears,Blackhawks,Cubs,White Sox
1969.0,0.47600000000000003,0.071,0.592,0.568,0.42
1970.0,0.622,0.429,0.628,0.519,0.34600000000000003
1971.0,0.695,0.429,0.59,0.512,0.488
1972.0,0.622,0.321,0.538,0.5479999999999999,0.565
1973.0,0.659,0.214,0.526,0.478,0.475
1974.0,0.573,0.28600000000000003,0.462,0.40700000000000003,0.5
1975.0,0.293,0.28600000000000003,0.4,0.46299999999999997,0.466
1976.0,0.537,0.5,0.325,0.46299999999999997,0.39799999999999996
1977.0,0.488,0.643,0.4,0.5,0.556
1978.0,0.37799999999999995,0.43799999999999994,0.362,0.488,0.441
1979.0,0.366,0.625,0.425,0.494,0.456
1980.0,0.5489999999999999,0.43799999999999994,0.388,0.395,0.43799999999999994
1981.0,0.415,0.375,0.375,0.28800000000000003,0.52
1982.0,0.341,0.33299999999999996,0.588,0.451,0.537
1983.0,0.32899999999999996,0.5,0.375,0.43799999999999994,0.611
1984.0,0.46299999999999997,0.625,0.475,0.596,0.457
1985.0,0.366,0.938,0.488,0.478,0.525
1986.0,0.488,0.875,0.362,0.43799999999999994,0.444
1987.0,0.61,0.733,0.375,0.47200000000000003,0.475
1988.0,0.573,0.75,0.338,0.475,0.441
1989.0,0.6709999999999999,0.375,0.512,0.574,0.429
1990.0,0.7440000000000001,0.688,0.612,0.475,0.58
1991.0,0.8170000000000001,0.688,0.45,0.48100000000000004,0.537
1992.0,0.695,0.313,0.56,0.48100000000000004,0.531
1993.0,0.6709999999999999,0.43799999999999994,0.464,0.519,0.58
1994.0,0.573,0.563,0.5,0.434,0.593
1995.0,0.878,0.563,0.488,0.507,0.47200000000000003
1996.0,0.841,0.43799999999999994,0.415,0.469,0.525
1997.0,0.7559999999999999,0.25,0.366,0.42,0.49700000000000005
1998.0,0.26,0.25,0.354,0.552,0.494
1999.0,0.207,0.375,0.412,0.414,0.466
2000.0,0.183,0.313,0.377,0.401,0.586
2001.0,0.256,0.813,0.506,0.5429999999999999,0.512
2002.0,0.366,0.25,0.395,0.414,0.5
2003.0,0.28,0.43799999999999994,0.27,0.5429999999999999,0.531
2005.0,0.5,0.688,0.377,0.488,0.611
2006.0,0.598,0.813,0.425,0.40700000000000003,0.556
2007.0,0.402,0.43799999999999994,0.541,0.525,0.444
2008.0,0.5,0.563,0.657,0.602,0.546
2009.0,0.5,0.43799999999999994,0.703,0.516,0.488
2010.0,0.7559999999999999,0.688,0.603,0.46299999999999997,0.5429999999999999
2011.0,0.758,0.5,0.634,0.43799999999999994,0.488
2012.0,0.5489999999999999,0.625,0.837,0.377,0.525
2013.0,0.585,0.5,0.687,0.40700000000000003,0.389
2014.0,0.61,0.313,0.632,0.451,0.451
2015.0,0.512,0.375,0.644,0.599,0.469
2016.0,0.5,0.188,0.685,0.64,0.48100000000000004
2017.0,0.32899999999999996,0.313,0.458,0.568,0.414
