Season,Level,League,Division,Finish,Won,Lost,Win%,GB,Year
1969,MLB,AL,West,5th,68,94,.420,29,1969
1970,MLB,AL,West,6th,56,106,.346,42,1970
1971,MLB,AL,West,3rd,79,83,.488,22½,1971
1972,MLB,AL,West,2nd,87,67,.565,5½,1972
1973,MLB,AL,West,5th,77,85,.475,17,1973
1974,MLB,AL,West,4th,80,80,.500,9,1974
1975,MLB,AL,West,5th,75,86,.466,22½,1975
1976,MLB,AL,West,6th,64,97,.398,25½,1976
1977,MLB,AL,West,3rd,90,72,.556,12,1977
1978,MLB,AL,West,5th,71,90,.441,20½,1978
1979,MLB,AL,West,5th,73,87,.456,14,1979
1980,MLB,AL,West,5th,70,90,.438,26,1980
1981,MLB,AL,West,3rd,31,22,.520,2½,1981
1982,MLB,AL,West,3rd,87,75,.537,6,1982
1983,MLB,AL,West ^,1st,99,63,.611,—,1983
1984,MLB,AL,West,5th,74,88,.457,10,1984
1985,MLB,AL,West,3rd,85,77,.525,6,1985
1986,MLB,AL,West,5th,72,90,.444,20,1986
1987,MLB,AL,West,5th,77,85,.475,8,1987
1988,MLB,AL,West,5th,71,90,.441,32½,1988
1989,MLB,AL,West,7th,69,92,.429,29½,1989
1990,MLB,AL,West,2nd,94,68,.580,9,1990
1991,MLB,AL,West,2nd,87,75,.537,8,1991
1992,MLB,AL,West,3rd,86,76,.531,10,1992
1993,MLB,AL,West ^,1st,94,68,.580,—,1993
1994,MLB,AL,Central,1st,67,46,.593,—,1994
1995,MLB,AL,Central,3rd,68,76,.472,32,1995
1996,MLB,AL,Central,2nd,85,77,.525,14½,1996
1997,MLB,AL,Central,2nd,80,81,.497,6,1997
1998,MLB,AL,Central,2nd,80,82,.494,9,1998
1999,MLB,AL,Central,2nd,75,86,.466,21½,1999
2000,MLB,AL,Central ^,1st,95,67,.586,—,2000
2001,MLB,AL,Central,3rd,83,79,.512,8,2001
2002,MLB,AL,Central,2nd,81,81,.500,13½,2002
2003,MLB,AL,Central,2nd,86,76,.531,4,2003
2004,MLB,AL,Central,2nd,83,79,.512,9,2004
2005,MLB †,AL *,Central ^,1st,99,63,.611,—,2005
2006,MLB,AL,Central,3rd,90,72,.556,6,2006
2007,MLB,AL,Central,4th,72,90,.444,24,2007
2008,MLB,AL,Central ^,1st,89,74,.546,—,2008
2009,MLB,AL,Central,3rd,79,83,.488,7½,2009
2010,MLB,AL,Central,2nd,88,74,.543,6,2010
2011,MLB,AL,Central,3rd,79,83,.488,16,2011
2012,MLB,AL,Central,2nd,85,77,.525,3,2012
2013,MLB,AL,Central,5th,63,99,.389,30,2013
2014,MLB,AL,Central,4th,73,89,.451,17,2014
2015,MLB,AL,Central,4th,76,86,.469,19,2015
2016,MLB,AL,Central,4th,78,84,.481,16½,2016
2017,MLB,AL,Central,4th,67,95,.414,35,2017
2018,MLB,AL,Central,4th,62,100,.383,29,2018
